,Close,High,Low,Open,time,volume
0,123.27,123.27,123.27,123.27,2002-10-09 04:00:00,1
1,123.6,123.6,123.6,123.6,2002-10-10 04:00:00,1
2,124.03,124.03,124.03,124.03,2002-10-11 04:00:00,1
3,124.14,124.14,124.14,124.14,2002-10-13 04:00:00,1
4,124.295,124.295,124.295,124.295,2002-10-14 04:00:00,1
5,124.665,124.665,124.665,124.665,2002-10-15 04:00:00,1
6,124.47,124.47,124.47,124.47,2002-10-16 04:00:00,1
7,125.015,125.015,125.015,125.015,2002-10-17 04:00:00,1
8,125.53,125.53,125.53,125.53,2002-10-18 04:00:00,1
9,125.41,125.41,125.41,125.41,2002-10-20 04:00:00,1
10,124.955,124.955,124.955,124.955,2002-10-21 04:00:00,1
11,125.135,125.135,125.135,125.135,2002-10-22 04:00:00,1
12,124.585,124.585,124.585,124.585,2002-10-23 04:00:00,1
13,124.425,124.425,124.425,124.425,2002-10-24 04:00:00,1
14,124.31,124.31,124.31,124.31,2002-10-25 04:00:00,1
15,124.2,124.2,124.2,124.2,2002-10-27 04:00:00,1
16,123.595,123.595,123.595,123.595,2002-10-28 05:00:00,1
17,122.99,122.99,122.99,122.99,2002-10-29 05:00:00,1
18,122.915,122.915,122.915,122.915,2002-10-30 05:00:00,1
19,122.535,122.535,122.535,122.535,2002-10-31 05:00:00,1
20,122.21,122.21,122.21,122.21,2002-11-01 05:00:00,1
21,122.12,122.12,122.12,122.12,2002-11-03 05:00:00,1
22,122.22,122.22,122.22,122.22,2002-11-04 05:00:00,1
23,121.79,121.79,121.79,121.79,2002-11-05 05:00:00,1
24,121.815,121.815,121.815,121.815,2002-11-06 05:00:00,1
25,121.145,121.145,121.145,121.145,2002-11-07 05:00:00,1
26,119.82,119.82,119.82,119.82,2002-11-08 05:00:00,1
27,119.85,119.85,119.85,119.85,2002-11-10 05:00:00,1
28,119.535,119.535,119.535,119.535,2002-11-11 05:00:00,1
29,119.625,119.625,119.625,119.625,2002-11-12 05:00:00,1
30,120.205,120.205,120.205,120.205,2002-11-13 05:00:00,1
31,120.485,120.485,120.485,120.485,2002-11-14 05:00:00,1
32,120.46,120.46,120.46,120.46,2002-11-15 05:00:00,1
33,120.45,120.45,120.45,120.45,2002-11-17 05:00:00,1
34,121.045,121.045,121.045,121.045,2002-11-18 05:00:00,1
35,122.105,122.105,122.105,122.105,2002-11-19 05:00:00,1
36,122.635,122.635,122.635,122.635,2002-11-20 05:00:00,1
37,122.685,122.685,122.685,122.685,2002-11-21 05:00:00,1
38,122.97,122.97,122.8,122.8,2002-11-22 05:00:00,2
39,122.9,122.9,122.9,122.9,2002-11-24 05:00:00,1
40,122.095,122.095,122.095,122.095,2002-11-25 05:00:00,1
41,121.625,121.625,121.625,121.625,2002-11-26 05:00:00,1
42,122.345,122.345,122.345,122.345,2002-11-27 05:00:00,1
43,122.205,122.205,122.205,122.205,2002-11-28 05:00:00,1
44,122.54,122.54,122.54,122.54,2002-11-29 05:00:00,1
45,122.59,122.59,122.59,122.59,2002-12-01 05:00:00,1
46,124.535,124.535,124.535,124.535,2002-12-02 05:00:00,1
47,124.545,124.545,124.545,124.545,2002-12-03 05:00:00,1
48,124.555,124.555,124.555,124.555,2002-12-04 05:00:00,1
49,124.845,124.845,124.845,124.845,2002-12-05 05:00:00,1
50,123.56,123.56,123.56,123.56,2002-12-06 05:00:00,1
51,123.35,123.35,123.35,123.35,2002-12-08 05:00:00,1
52,123.345,123.345,123.345,123.345,2002-12-09 05:00:00,1
53,123.795,123.795,123.795,123.795,2002-12-10 05:00:00,1
54,123.605,123.605,123.605,123.605,2002-12-11 05:00:00,1
55,122.715,122.715,122.715,122.715,2002-12-12 05:00:00,1
56,120.56,120.56,120.56,120.56,2002-12-13 05:00:00,1
57,120.48,120.48,120.48,120.48,2002-12-15 05:00:00,1
58,121.35,121.35,121.35,121.35,2002-12-16 05:00:00,1
59,121.3,121.3,121.3,121.3,2002-12-17 05:00:00,1
60,121.1,121.1,121.1,121.1,2002-12-18 05:00:00,1
61,120.46,120.46,120.46,120.46,2002-12-19 05:00:00,1
62,120.42,120.48,120.42,120.48,2002-12-20 05:00:00,2
63,120.3,120.3,120.3,120.3,2002-12-22 05:00:00,1
64,120.44,120.44,120.44,120.44,2002-12-23 05:00:00,1
65,120.33,120.33,120.33,120.33,2002-12-24 05:00:00,1
66,120.32,120.32,120.32,120.32,2002-12-25 05:00:00,1
67,119.97,119.97,119.97,119.97,2002-12-26 05:00:00,1
68,119.89,119.89,119.89,119.89,2002-12-27 05:00:00,1
69,119.87,119.87,119.87,119.87,2002-12-29 05:00:00,1
70,119.88,119.88,119.88,119.88,2002-12-30 05:00:00,1
71,118.73,118.73,118.73,118.73,2003-01-01 05:00:00,2
72,120.03,120.03,120.03,120.03,2003-01-02 05:00:00,1
73,119.74,119.74,119.74,119.74,2003-01-03 05:00:00,1
74,119.73,119.73,119.73,119.73,2003-01-05 05:00:00,1
75,119.165,119.165,119.165,119.165,2003-01-06 05:00:00,1
