,Close,High,Low,Open,time,volume,MA_20d,ewm,RSI,MACD,MACD_hist,MACD_signal,psar,psarbear,psarbull
0,0.5395,0.5395,0.5395,0.5395,2002-05-07 04:00:00,1,,,,,,,0.5395,,
1,0.5397,0.5397,0.5397,0.5397,2002-05-08 04:00:00,1,,,,,,,0.5397,,
2,0.544,0.544,0.544,0.544,2002-05-09 04:00:00,1,,,,,,,0.5395,,0.5395
3,0.5444,0.5448,0.5444,0.5448,2002-05-10 04:00:00,2,,,,,,,0.5396799999999999,,0.5396799999999999
4,0.5475,0.5475,0.5475,0.5475,2002-05-13 04:00:00,1,,,,,,,0.5399871999999999,,0.5399871999999999
5,0.5475,0.5475,0.5475,0.5475,2002-05-14 04:00:00,1,,,,,,,0.540588224,,0.540588224
6,0.5492,0.5492,0.5492,0.5492,2002-05-15 04:00:00,1,,,,,,,0.54114116608,,0.54114116608
7,0.5488,0.5488,0.5488,0.5488,2002-05-16 04:00:00,1,,,,,,,0.541947049472,,0.541947049472
8,0.5526,0.5528,0.5526,0.5528,2002-05-17 04:00:00,2,,,,,,,0.5426723445248001,,0.5426723445248001
9,0.5562,0.5562,0.5562,0.5562,2002-05-20 04:00:00,1,,,,,,,0.543887663181824,,0.543887663181824
10,0.5567,0.5567,0.5567,0.5567,2002-05-21 04:00:00,1,,,,,,,0.5456113903363686,,0.5456113903363686
11,0.55895,0.55895,0.55895,0.55895,2002-05-22 04:00:00,1,,,,,,,0.5473855678825497,,0.5473855678825497
12,0.55635,0.55635,0.55635,0.55635,2002-05-23 04:00:00,1,,,,,,,0.5494671656636907,,0.5494671656636907
13,0.5568,0.5568,0.5566,0.5566,2002-05-24 04:00:00,2,,,,,,,0.5511740758442264,,0.5511740758442264
14,0.5574,0.5574,0.5574,0.5574,2002-05-27 04:00:00,1,,,80.14880339773326,,,,0.5525737421922656,,0.5525737421922656
15,0.5616,0.5616,0.5616,0.5616,2002-05-28 04:00:00,1,,,86.3860430193318,,,,0.5537214685976578,,0.5537214685976578
16,0.5629,0.5629,0.5629,0.5629,2002-05-29 04:00:00,1,,,87.75959043675844,,,,0.5552971748781262,,0.5552971748781262
17,0.5641,0.5641,0.5641,0.5641,2002-05-30 04:00:00,1,,,88.94730793222652,,,,0.5568177399025009,,0.5568177399025009
